"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","310.50","292.20","315.60","285.10","1.34M","6.37%"
"11/01/2024","291.90","301.30","304.50","287.00","1.18M","-3.12%"
"10/01/2024","301.30","341.20","351.60","300.70","1.39M","-11.80%"
"09/01/2024","341.60","310.20","346.90","307.60","1.17M","10.16%"
"08/01/2024","310.10","327.50","343.70","298.10","666.06K","-12.43%"
"07/01/2024","354.10","360.50","388.90","332.20","392.40K","2.34%"
"06/01/2024","346.00","357.50","362.20","344.10","749.38K","-2.78%"
"05/01/2024","355.90","348.20","386.90","346.00","372.51K","2.77%"
"04/01/2024","346.30","338.30","353.70","325.10","1.40M","2.55%"
"03/01/2024","337.70","334.40","347.60","326.90","668.62K","1.32%"
"02/01/2024","333.30","368.30","370.40","326.70","1.16M","-8.46%"
"01/01/2024","364.10","385.30","385.60","347.40","1.23M","-5.67%"
"12/01/2023","386.00","440.70","440.70","384.30","334.13K","-12.71%"
"11/01/2023","442.20","431.00","479.00","422.50","1.05M","2.60%"
"10/01/2023","431.00","377.30","448.40","360.00","1.04M","14.66%"
"09/01/2023","375.90","418.70","423.80","374.30","239.12K","-10.22%"
"08/01/2023","418.70","451.20","462.30","397.20","306.57K","5.76%"
"07/01/2023","395.90","398.60","424.70","386.00","649.98K","-5.56%"
"06/01/2023","419.20","393.30","441.20","386.50","1.15M","6.61%"
"05/01/2023","393.20","432.45","442.15","386.35","70.21K","-9.07%"
"04/01/2023","432.40","463.85","470.90","422.10","80.10K","-7.21%"
"03/01/2023","466.00","487.80","510.80","435.00","761.66K","-4.43%"
"02/01/2023","487.60","483.30","508.20","477.80","984.00K","0.70%"
"01/01/2023","484.20","475.60","516.60","452.80","629.29K","1.19%"
"12/01/2022","478.50","422.70","481.80","416.00","309.48K","14.56%"
"11/01/2022","417.70","427.10","431.00","402.20","849.51K","-2.43%"
"10/01/2022","428.10","403.20","440.50","397.10","520.27K","6.23%"
"09/01/2022","403.00","421.50","444.80","402.40","791.86K","-2.91%"
"08/01/2022","415.10","421.20","451.20","395.60","13.57K","-1.05%"
"07/01/2022","419.50","408.00","431.50","375.25","0.33K","-10.73%"
"06/01/2022","469.90","415.90","478.50","404.00","871.43K","13.28%"
"05/01/2022","414.80","441.70","445.10","397.20","469.51K","-5.83%"
"04/01/2022","440.50","468.30","473.00","437.80","738.07K","-5.78%"
"03/01/2022","467.50","457.90","525.40","453.50","488.43K","2.77%"
"02/01/2022","454.90","418.70","493.10","417.10","1.00M","8.59%"
"01/01/2022","418.90","417.80","445.00","387.40","533.53K","1.75%"
"12/01/2021","411.70","350.00","422.30","346.30","337.60K","18.03%"
"11/01/2021","348.80","332.60","382.00","328.60","997.41K","4.87%"
"10/01/2021","332.60","326.90","334.60","308.80","586.93K","1.96%"
"09/01/2021","326.20","346.50","347.20","325.80","194.96K","-5.83%"
"08/01/2021","346.40","352.00","364.70","345.00","226.06K","-1.76%"
"07/01/2021","352.60","373.50","384.70","347.30","230.04K","-6.10%"
"06/01/2021","375.50","396.00","406.90","339.90","913.19K","-5.06%"
"05/01/2021","395.50","426.00","456.00","378.30","507.07K","-7.16%"
"04/01/2021","426.00","427.80","435.70","394.40","819.03K","0.66%"
"03/01/2021","423.20","427.10","427.90","395.40","532.76K","0.00%"
"02/01/2021","423.20","432.40","443.70","417.00","784.69K","-1.81%"
"01/01/2021","431.00","439.10","474.10","417.60","513.62K","-0.78%"
"12/01/2020","434.40","394.20","436.40","378.40","357.00K","10.51%"
"11/01/2020","393.10","378.60","402.40","373.80","1.01M","3.83%"
"10/01/2020","378.60","339.80","392.70","339.00","685.18K","11.45%"
"09/01/2020","339.70","304.40","346.50","300.00","231.18K","11.52%"
"08/01/2020","304.60","288.80","307.00","279.80","255.68K","5.29%"
"07/01/2020","289.30","287.20","296.90","284.10","278.34K","1.05%"
"06/01/2020","286.30","283.20","292.80","279.90","1.05M","1.09%"
"05/01/2020","283.20","289.90","289.90","281.50","400.41K","-2.21%"
"04/01/2020","289.60","321.90","322.60","278.80","708.69K","-9.92%"
"03/01/2020","321.50","298.50","336.30","292.80","708.89K","7.67%"
"02/01/2020","298.60","290.90","300.40","284.80","1.13M","2.61%"
"01/01/2020","291.00","299.20","303.90","290.40","668.89K","-2.97%"
"12/01/2019","299.90","290.90","303.70","290.50","410.92K","3.09%"
