"Date","Price","Open","High","Low","Vol.","Change %"
"12/22/2024","310.50","303.00","315.60","297.10","265.31K","2.75%"
"12/15/2024","302.20","292.90","303.00","285.10","374.25K","5.59%"
"12/08/2024","286.20","287.40","293.90","285.50","370.31K","-0.42%"
"12/01/2024","287.40","292.20","293.70","285.60","331.54K","-1.54%"
"11/24/2024","291.90","291.60","299.50","290.60","341.36K","0.14%"
"11/17/2024","291.50","291.50","294.70","288.70","302.13K","0.24%"
"11/10/2024","290.80","299.00","303.40","287.00","271.02K","-2.45%"
"11/03/2024","298.10","297.00","304.50","294.50","219.26K","0.34%"
"10/27/2024","297.10","306.70","307.70","296.00","190.98K","-2.84%"
"10/20/2024","305.80","315.60","320.20","305.00","334.29K","-3.11%"
"10/13/2024","315.60","314.20","323.30","308.80","377.75K","0.16%"
"10/06/2024","315.10","329.50","329.50","313.70","442.26K","-4.66%"
"09/29/2024","330.50","343.10","351.60","329.00","552.37K","-3.95%"
"09/22/2024","344.10","319.40","345.80","319.30","526.48K","7.80%"
"09/15/2024","319.20","322.90","327.00","315.70","302.49K","0.25%"
"09/08/2024","318.40","320.00","325.30","312.30","117.21K","-0.75%"
"09/01/2024","320.80","310.20","328.50","307.60","107.39K","3.45%"
"08/25/2024","310.10","300.50","313.90","298.10","188.91K","1.84%"
"08/18/2024","304.50","301.50","313.60","301.50","253.76K","0.79%"
"08/11/2024","302.10","310.60","312.80","298.50","335.29K","-1.82%"
"08/04/2024","307.70","321.50","333.40","307.40","137.67K","-4.53%"
"07/28/2024","322.30","320.00","323.00","312.20","95.87K","-0.28%"
"07/21/2024","323.20","306.00","327.00","306.00","105.78K","5.11%"
"07/14/2024","307.50","313.00","315.00","306.70","276.24K","-1.32%"
"07/07/2024","311.60","328.70","329.40","310.10","105.92K","-5.49%"
"06/30/2024","329.70","331.50","332.30","325.10","70.55K","-8.54%"
"06/23/2024","360.50","362.00","375.20","357.30","216.42K","5.59%"
"06/16/2024","341.40","352.80","352.80","338.80","241.16K","-7.33%"
"06/09/2024","368.40","360.50","372.60","358.00","473.16K","2.13%"
"06/02/2024","360.70","364.70","365.50","354.70","413.95K","-1.10%"
"05/26/2024","364.70","387.00","391.30","362.30","344.48K","-5.64%"
"05/19/2024","386.50","368.60","387.90","365.60","354.27K","4.80%"
"05/12/2024","368.80","369.20","381.70","362.60","193.95K","0.49%"
"05/05/2024","367.00","366.00","381.90","364.20","1.05K","0.14%"
"04/28/2024","366.50","339.10","367.50","336.90","30.91K","7.79%"
"04/21/2024","340.00","342.50","351.00","338.90","235.14K","-0.93%"
"04/14/2024","343.20","343.20","344.90","336.40","331.71K","-0.26%"
"04/07/2024","344.10","336.20","345.30","333.80","369.72K","2.35%"
"03/31/2024","336.20","341.30","341.90","328.90","229.14K","-0.44%"
"03/24/2024","337.70","338.90","342.80","332.80","243.59K","-0.41%"
"03/17/2024","339.10","334.90","347.60","329.30","359.26K","1.31%"
"03/10/2024","334.70","335.90","343.30","326.90","62.52K","-1.93%"
"03/03/2024","341.30","337.90","341.40","327.90","2.08K","2.19%"
"02/25/2024","334.00","332.50","339.80","326.70","103.83K","1.83%"
"02/18/2024","328.00","339.00","345.20","325.60","285.99K","-3.22%"
"02/11/2024","338.90","340.50","347.10","332.70","329.61K","-0.47%"
"02/04/2024","340.50","353.00","357.00","337.50","333.53K","-4.57%"
"01/28/2024","356.80","349.90","370.40","346.20","317.17K","2.23%"
"01/21/2024","349.00","356.50","366.80","348.60","239.65K","-2.10%"
"01/14/2024","356.50","363.20","373.60","355.50","286.89K","1.48%"
"01/07/2024","351.30","369.00","369.20","351.30","0.51K","-4.69%"
"12/31/2023","368.60","386.00","386.00","369.70","3.14K","-4.51%"
"12/24/2023","386.00","400.50","403.90","384.30","65.77K","-3.40%"
"12/17/2023","399.60","406.00","413.50","394.20","183.22K","-1.48%"
"12/10/2023","405.60","427.80","434.00","400.50","0.34K","-4.38%"
"12/03/2023","424.20","423.50","437.30","419.00","2.72K","-0.26%"
"11/26/2023","425.30","458.10","466.40","423.50","130.98K","-2.03%"
"11/19/2023","434.10","455.40","467.55","433.40","35.56K","-4.49%"
"11/12/2023","454.50","450.40","478.90","448.75","","1.13%"
"11/05/2023","449.40","442.80","464.20","433.00","291.10K","1.65%"
"10/29/2023","442.10","441.40","445.00","422.50","233.20K","-0.07%"
"10/22/2023","442.40","424.60","448.40","413.40","364.14K","4.36%"
"10/15/2023","423.90","390.00","425.70","386.90","352.36K","9.37%"
"10/08/2023","387.60","370.00","377.50","368.00","0.40K","5.44%"
"10/01/2023","367.60","377.30","381.40","360.00","2.52K","-2.21%"
"09/24/2023","375.90","388.40","398.10","374.30","100.54K","-3.17%"
"09/17/2023","388.20","393.20","399.50","387.70","88.70K","-1.37%"
"09/10/2023","393.60","414.60","415.00","393.30","0.18K","-4.44%"
"09/03/2023","411.90","413.00","413.00","403.00","2.12K","-0.19%"
"08/27/2023","412.70","424.60","428.00","411.80","61.63K","-2.39%"
"08/20/2023","422.80","405.00","426.80","401.30","105.11K","4.68%"
"08/13/2023","403.90","445.00","462.30","397.20","82.58K","-7.55%"
"08/06/2023","436.90","448.10","451.10","428.70","0.99K","-1.62%"
"07/30/2023","444.10","455.20","461.70","443.20","6.21K","-2.44%"
"07/23/2023","455.20","445.30","472.50","443.00","132.18K","11.43%"
"07/16/2023","408.50","405.00","424.40","401.40","217.79K","-5.00%"
"07/09/2023","430.00","414.00","435.20","411.30","0.46K","11.31%"
"07/02/2023","386.30","397.30","415.20","384.70","189.68K","-7.85%"
"06/25/2023","419.20","411.00","424.00","396.00","107.17K","2.07%"
"06/18/2023","410.70","418.90","441.20","408.50","168.72K","-1.37%"
"06/11/2023","416.40","398.20","417.00","386.50","269.51K","4.83%"
"06/04/2023","397.20","398.50","408.40","395.80","275.22K","-0.15%"
"05/28/2023","397.80","402.20","404.40","386.30","208.94K","-1.09%"
"05/21/2023","402.20","409.10","416.90","395.60","265.39K","-1.69%"
"05/14/2023","409.10","433.40","442.30","408.60","270.99K","-5.50%"
"05/07/2023","432.90","424.50","436.50","416.10","252.38K","0.93%"
"04/30/2023","428.90","433.80","437.30","420.50","2.12K","-1.47%"
"04/23/2023","435.30","445.80","449.00","422.00","115.74K","-2.33%"
"04/16/2023","445.70","459.70","471.10","444.50","155.83K","-3.05%"
"04/09/2023","459.70","454.30","470.20","449.10","256.30K","1.19%"
"04/02/2023","454.30","463.90","467.50","445.40","199.48K","-2.51%"
"03/26/2023","466.00","445.30","469.00","439.60","217.88K","4.70%"
"03/19/2023","445.10","465.00","468.40","435.00","273.96K","-4.48%"
"03/12/2023","466.00","502.00","502.00","463.80","111.55K","-6.58%"
"03/05/2023","498.80","496.50","510.80","493.70","1.97K","0.14%"
"02/26/2023","498.10","497.60","501.60","485.70","34.15K","0.20%"
"02/19/2023","497.10","496.10","501.50","490.00","125.11K","1.22%"
"02/12/2023","491.10","500.80","508.20","487.80","212.09K","-1.66%"
"02/05/2023","499.40","498.00","501.00","477.80","304.39K","0.58%"
"01/29/2023","496.50","475.80","500.40","475.30","210.31K","4.86%"
"01/22/2023","473.50","462.00","481.70","452.80","268.87K","2.11%"
"01/15/2023","463.70","473.70","487.00","462.90","169.62K","-9.61%"
"01/08/2023","513.00","503.10","516.60","492.20","1.77K","7.41%"
"01/01/2023","477.60","471.00","479.00","457.20","174.13K","-0.19%"
"12/25/2022","478.50","457.00","481.80","449.20","67.26K","5.10%"
"12/18/2022","455.30","461.00","461.00","446.00","133.24K","-1.66%"
"12/11/2022","463.00","465.90","469.00","450.40","37.48K","-1.84%"
"12/04/2022","471.70","424.80","473.40","424.80","1.28K","11.12%"
"11/27/2022","424.50","408.80","426.50","406.20","56.07K","3.84%"
"11/20/2022","408.80","410.30","415.40","407.80","141.83K","-0.39%"
"11/13/2022","410.40","407.90","412.10","402.20","166.44K","0.74%"
"11/06/2022","407.40","419.60","423.30","403.40","229.12K","-3.09%"
"10/30/2022","420.40","434.00","440.50","414.00","185.03K","-1.18%"
"10/23/2022","425.40","417.90","426.00","406.40","185.36K","1.79%"
"10/16/2022","417.90","411.30","418.50","398.80","194.62K","-0.14%"
"10/09/2022","418.50","407.30","424.30","407.30","0.29K","3.36%"
"10/02/2022","404.90","403.20","413.90","397.10","1.30K","0.47%"
"09/25/2022","403.00","423.10","425.85","402.40","15.97K","-4.77%"
"09/18/2022","423.20","421.00","443.75","420.20","","0.36%"
"09/11/2022","421.70","409.50","440.10","409.35","","2.68%"
"09/04/2022","410.70","416.75","423.60","404.40","","-1.68%"
"08/28/2022","417.70","428.00","432.75","412.25","31.35K","-2.52%"
"08/21/2022","428.50","401.60","436.60","399.40","203.77K","6.51%"
"08/14/2022","402.30","413.60","416.20","395.60","167.42K","-3.73%"
"08/07/2022","417.90","405.25","423.90","397.85","0.07K","-16.27%"
"07/31/2022","499.10","499.10","516.30","477.50","1.40K","0.77%"
"07/24/2022","495.30","434.90","513.10","431.80","99.63K","14.79%"
"07/17/2022","431.50","432.10","438.10","429.00","102.84K","0.12%"
"07/10/2022","431.00","484.60","500.30","428.20","25.77K","-9.91%"
"07/03/2022","478.40","458.00","482.50","451.10","2.22K","4.07%"
"06/26/2022","459.70","432.00","478.50","429.50","99.25K","6.26%"
"06/19/2022","432.60","438.00","440.00","421.10","166.57K","-1.26%"
"06/12/2022","438.10","429.20","439.80","408.00","206.03K","2.10%"
"06/05/2022","429.10","409.00","431.70","404.00","272.07K","5.20%"
"05/29/2022","407.90","433.30","436.50","407.30","197.39K","-5.64%"
"05/22/2022","432.30","430.00","434.90","418.60","190.00K","0.56%"
"05/15/2022","429.90","413.90","431.30","407.20","207.26K","5.78%"
"05/08/2022","406.40","423.10","423.10","397.20","0.63K","-4.02%"
"05/01/2022","423.40","441.70","445.10","423.10","3.06K","-3.88%"
"04/24/2022","440.50","458.60","460.00","437.80","125.50K","-3.99%"
"04/17/2022","458.80","460.90","473.00","457.60","178.12K","-0.56%"
"04/10/2022","461.40","468.50","471.30","453.10","200.77K","-1.45%"
"04/03/2022","468.20","451.00","470.00","448.50","188.47K","4.04%"
"03/27/2022","450.00","486.00","487.20","448.10","224.21K","-7.77%"
"03/20/2022","487.90","477.10","494.70","474.80","175.39K","2.29%"
"03/13/2022","477.00","497.90","525.40","471.50","133.12K","-3.27%"
"03/06/2022","493.10","474.90","507.30","467.00","0.91K","5.16%"
"02/27/2022","468.90","460.50","477.20","450.70","4.74K","4.60%"
"02/20/2022","448.30","448.50","493.10","445.70","160.58K","0.09%"
"02/13/2022","447.90","456.70","460.20","437.90","205.24K","-1.91%"
"02/06/2022","456.60","446.00","477.90","445.90","384.22K","2.86%"
"01/30/2022","443.90","413.00","447.60","412.20","305.36K","7.95%"
"01/23/2022","411.20","395.40","413.50","387.40","258.77K","4.71%"
"01/16/2022","392.70","403.50","405.30","389.40","271.89K","-11.75%"
"01/09/2022","445.00","432.00","445.00","420.80","0.51K","2.65%"
"01/02/2022","433.50","417.80","439.00","415.70","2.37K","5.30%"
"12/26/2021","411.70","407.30","422.30","406.10","83.97K","1.38%"
"12/19/2021","406.10","379.50","407.80","379.00","137.30K","7.01%"
"12/12/2021","379.50","385.00","404.50","370.80","111.85K","0.42%"
"12/05/2021","377.90","363.50","380.40","356.00","2.14K","2.77%"
"11/28/2021","367.70","357.60","369.00","344.20","36.63K","3.23%"
"11/21/2021","356.20","372.80","377.80","352.40","158.54K","-4.20%"
"11/14/2021","371.80","361.00","382.00","358.90","251.25K","2.68%"
"11/07/2021","362.10","332.20","366.00","330.00","298.09K","8.84%"
"10/31/2021","332.70","332.60","341.30","328.60","260.29K","0.03%"
"10/24/2021","332.60","325.90","334.60","323.00","242.05K","1.59%"
"10/17/2021","327.40","317.10","329.40","313.90","285.60K","3.41%"
"10/10/2021","316.60","317.90","319.90","308.80","56.51K","-0.28%"
"10/03/2021","317.50","325.50","325.50","318.60","2.03K","-2.31%"
"09/26/2021","325.00","335.80","341.00","324.60","66.23K","-3.30%"
"09/19/2021","336.10","338.60","340.00","334.80","81.59K","-0.71%"
"09/12/2021","338.50","342.00","345.90","335.40","45.39K","-1.02%"
"09/05/2021","342.00","341.80","342.50","335.20","0.73K","0.32%"
"08/29/2021","340.90","353.90","357.50","336.50","22.89K","-3.75%"
"08/22/2021","354.20","352.70","357.60","346.60","127.82K","0.25%"
"08/15/2021","353.30","357.80","364.20","348.70","73.98K","-1.34%"
"08/08/2021","358.10","361.40","364.70","354.00","0.24K","-0.20%"
"08/01/2021","358.80","352.00","359.20","347.60","2.90K","1.76%"
"07/25/2021","352.60","354.00","361.00","347.30","93.95K","-0.28%"
"07/18/2021","353.60","370.50","371.50","352.80","101.53K","-2.64%"
"07/11/2021","363.20","351.90","371.00","351.70","33.95K","3.04%"
"07/04/2021","352.50","377.10","377.10","351.30","1.84K","-7.21%"
"06/27/2021","379.90","348.20","384.70","344.20","50.47K","9.42%"
"06/20/2021","347.20","369.60","377.40","339.90","163.73K","-7.02%"
"06/13/2021","373.40","383.30","383.90","359.60","249.12K","-2.58%"
"06/06/2021","383.30","399.90","403.40","377.60","300.04K","-3.26%"
"05/30/2021","396.20","396.00","406.90","388.60","151.18K","0.18%"
"05/23/2021","395.50","398.10","403.20","378.30","246.46K","-0.85%"
"05/16/2021","398.90","418.50","426.20","397.70","258.91K","-5.81%"
"05/09/2021","423.50","439.00","456.00","427.00","0.29K","-4.29%"
"05/02/2021","442.50","426.00","441.80","416.00","1.41K","3.87%"
"04/25/2021","426.00","422.30","435.70","417.50","107.80K","0.85%"
"04/18/2021","422.40","404.40","425.00","401.70","162.81K","5.02%"
"04/11/2021","402.20","402.40","408.40","394.40","277.59K","0.25%"
"04/04/2021","401.20","411.50","417.90","400.40","210.20K","-2.19%"
"03/28/2021","410.20","404.80","433.20","397.00","187.93K","1.53%"
"03/21/2021","404.00","408.80","408.80","395.40","212.74K","-0.96%"
"03/14/2021","407.90","398.70","410.60","397.00","187.81K","2.93%"
"03/07/2021","396.30","423.80","424.00","395.90","1.47K","-5.64%"
"02/28/2021","420.00","427.10","427.90","416.20","3.43K","-0.76%"
"02/21/2021","423.20","425.80","434.80","417.00","121.24K","-0.26%"
"02/14/2021","424.30","429.40","433.10","423.70","150.27K","-0.68%"
"02/07/2021","427.20","430.50","443.70","418.80","325.40K","-0.77%"
"01/31/2021","430.50","432.40","437.40","422.90","187.78K","-0.12%"
"01/24/2021","431.00","421.60","443.20","417.60","223.33K","2.23%"
"01/17/2021","421.60","463.30","464.00","420.00","229.96K","-8.98%"
"01/10/2021","463.20","448.50","474.10","443.80","56.04K","4.14%"
"01/03/2021","444.80","439.10","447.00","425.70","4.29K","2.39%"
"12/27/2020","434.40","419.80","436.40","410.30","57.35K","4.22%"
"12/20/2020","416.80","406.00","424.80","404.40","110.97K","2.79%"
"12/13/2020","405.50","386.50","408.20","378.40","182.90K","5.57%"
"12/06/2020","384.10","388.40","391.00","380.00","1.94K","-1.21%"
"11/29/2020","388.80","400.60","402.10","384.50","7.82K","-2.43%"
"11/22/2020","398.50","399.90","402.40","393.30","135.19K","0.96%"
"11/15/2020","394.70","389.20","399.50","386.50","184.72K","1.70%"
"11/08/2020","388.10","384.10","401.10","383.10","376.13K","1.49%"
"11/01/2020","382.40","378.60","393.40","373.80","310.95K","1.00%"
"10/25/2020","378.60","385.70","392.70","371.30","282.37K","-2.02%"
"10/18/2020","386.40","370.50","390.80","368.50","281.23K","5.14%"
"10/11/2020","367.50","361.00","374.90","355.70","118.50K","1.21%"
"10/04/2020","363.10","349.00","369.20","341.90","2.01K","3.92%"
"09/27/2020","349.40","337.10","350.80","326.30","43.39K","3.71%"
