"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2024","310.50","315.20","315.60","310.10","","-1.40%"
"12/26/2024","314.90","304.60","315.40","303.40","122.33K","4.41%"
"12/24/2024","301.60","298.20","302.30","297.10","45.34K","1.21%"
"12/23/2024","298.00","303.00","306.60","297.60","97.65K","-1.39%"
"12/20/2024","302.20","290.80","303.00","290.10","103.26K","3.85%"
"12/19/2024","291.00","286.10","291.90","285.10","74.49K","1.71%"
"12/18/2024","286.10","294.00","294.00","285.90","72.01K","-2.55%"
"12/17/2024","293.60","293.40","295.00","290.60","58.06K","0.07%"
"12/16/2024","293.40","292.90","297.50","292.90","66.44K","3.27%"
"12/13/2024","284.10","284.50","284.50","284.50","0.11K","-0.84%"
"12/12/2024","286.50","287.70","288.10","285.50","0.36K","-1.58%"
"12/11/2024","291.10","291.90","293.10","290.20","86.22K","-0.31%"
"12/10/2024","292.00","289.10","293.90","288.60","81.96K","0.83%"
"12/09/2024","289.60","287.40","293.20","287.40","69.94K","0.77%"
"12/06/2024","287.40","291.00","291.00","285.60","72.80K","-1.27%"
"12/05/2024","291.10","292.00","293.00","290.20","51.40K","-0.27%"
"12/04/2024","291.90","290.10","293.00","288.90","56.29K","0.52%"
"12/03/2024","290.40","287.90","292.70","287.90","74.86K","0.87%"
"12/02/2024","287.90","292.20","293.70","287.10","76.19K","-1.37%"
"11/29/2024","291.90","294.50","295.00","290.60","52.18K","-1.18%"
"11/27/2024","295.40","291.40","298.60","291.10","91.24K","1.37%"
"11/26/2024","291.40","295.00","295.70","290.60","103.97K","-1.52%"
"11/25/2024","295.90","291.60","299.50","291.60","93.98K","1.51%"
"11/22/2024","291.50","289.90","292.30","288.90","70.86K","0.73%"
"11/21/2024","289.40","291.70","292.70","288.70","53.02K","-0.65%"
"11/20/2024","291.30","290.70","292.70","288.90","57.67K","0.31%"
"11/19/2024","290.40","292.10","294.70","289.50","62.54K","-0.58%"
"11/18/2024","292.10","291.50","293.30","289.20","58.05K","0.45%"
"11/15/2024","290.80","290.00","291.40","287.00","62.46K","0.59%"
"11/14/2024","289.10","294.00","294.00","287.90","60.67K","-1.67%"
"11/13/2024","294.00","295.20","296.30","292.20","50.80K","-0.41%"
"11/12/2024","295.20","297.30","298.80","293.80","55.52K","-0.64%"
"11/11/2024","297.10","299.00","303.40","296.50","41.57K","-0.34%"
"11/08/2024","298.10","300.50","304.50","297.10","59.63K","-0.70%"
"11/07/2024","300.20","299.00","303.70","296.40","42.85K","0.40%"
"11/06/2024","299.00","300.30","300.30","294.50","33.86K","-0.53%"
"11/05/2024","300.60","300.20","301.70","298.60","37.39K","0.13%"
"11/04/2024","300.20","297.00","303.60","296.50","45.53K","1.04%"
"11/01/2024","297.10","301.30","302.60","296.00","47.95K","-1.39%"
"10/31/2024","301.30","302.70","304.00","300.70","49.18K","-0.53%"
"10/30/2024","302.90","303.00","305.00","302.00","34.16K","-0.03%"
"10/29/2024","303.00","306.00","307.00","302.30","26.11K","-0.66%"
"10/28/2024","305.00","306.70","307.70","304.10","33.58K","-0.52%"
"10/25/2024","306.60","311.00","311.00","305.90","36.70K","-1.16%"
"10/24/2024","310.20","313.30","316.20","309.90","40.09K","-1.12%"
"10/23/2024","313.70","315.00","317.60","312.90","35.46K","-0.35%"
"10/22/2024","314.80","315.10","317.20","312.00","22.35K","-0.06%"
"10/21/2024","315.00","313.30","316.60","312.90","20.30K","0.54%"
"10/18/2024","313.30","314.80","319.30","312.80","32.28K","-0.51%"
"10/17/2024","314.90","312.40","315.70","309.40","47.33K","0.83%"
"10/16/2024","312.30","311.70","314.40","310.60","33.58K","0.29%"
"10/15/2024","311.40","315.10","315.90","309.10","31.67K","-1.24%"
"10/14/2024","315.30","314.20","318.60","312.60","64.14K","0.06%"
"10/11/2024","315.10","316.60","319.10","313.70","79.12K","-0.32%"
"10/10/2024","316.10","321.20","322.50","314.40","96.91K","-1.59%"
"10/09/2024","321.20","323.20","327.00","320.00","88.49K","-0.56%"
"10/08/2024","323.00","324.00","326.40","319.60","90.26K","-0.31%"
"10/07/2024","324.00","329.50","329.50","323.00","87.47K","-1.97%"
"10/04/2024","330.50","332.90","335.80","329.00","69.78K","-0.60%"
"10/03/2024","332.50","340.00","341.30","331.70","93.61K","-2.32%"
"10/02/2024","340.40","347.00","349.90","332.00","135.15K","-2.04%"
"10/01/2024","347.50","341.20","351.60","339.00","138.46K","1.73%"
"09/30/2024","341.60","343.10","346.90","339.40","115.38K","-0.73%"
"09/27/2024","344.10","327.00","345.80","325.10","155.01K","5.29%"
"09/26/2024","326.80","328.00","332.20","325.50","94.07K","-0.43%"
"09/25/2024","328.20","325.50","328.80","322.10","90.89K","0.71%"
"09/24/2024","325.90","328.60","334.50","324.50","99.87K","-0.85%"
"09/23/2024","328.70","319.40","329.50","319.30","86.64K","2.98%"
"09/20/2024","319.20","321.70","324.50","315.70","72.17K","-0.75%"
"09/19/2024","321.60","321.40","323.80","319.60","70.34K","0.06%"
"09/18/2024","321.40","322.00","327.00","319.20","61.33K","-0.03%"
"09/17/2024","321.50","323.20","324.60","320.20","48.81K","-0.71%"
"09/16/2024","323.80","322.90","326.70","320.60","49.85K","1.70%"
"09/13/2024","318.40","319.30","322.50","315.10","21.15K","-0.16%"
